type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA,pc_timestamp
CSI_DATA,STA,20:6E:F1:85:57:D5,-50,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,2879731740,0,110,0,0,2879.43,384,[0 0 0 0 0 0 0 0 0 0 0 0 -5 -4 -5 -5 -4 -5 -5 -5 -5 -6 -5 -6 -5 -6 -5 -6 -5 -7 -5 -7 -5 -7 -5 -7 -5 -7 -5 -7 -5 -7 -5 -7 -5 -7 -5 -7 -6 -7 -6 -7 -6 -7 -6 -7 -6 -7 -6 -8 -6 -8 -6 -8 0 0 -4 -8 -4 -7 -4 -7 -4 -6 -4 -5 -4 -5 -4 -5 -4 -5 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -4 -3 -4 -3 -4 -3 -4 -3 -3 -2 -4 -3 -4 -3 -4 -2 -4 -2 -5 -2 -5 -2 -5 -2 0 0 0 0 0 0 0 0 0 0 ],1771738835.159062
CSI_DATA,STA,20:6E:F1:85:57:D5,-51,11,1,6,1,1,1,0,0,0,0,-96,0,6,1,2879732867,0,110,0,0,2879.46,384,[0 0 0 0 0 0 0 0 0 0 0 0 0 -6 1 -6 1 -7 1 -7 1 -7 1 -7 2 -7 2 -7 2 -7 2 -8 2 -8 2 -8 2 -8 2 -8 3 -8 2 -7 2 -8 2 -7 2 -8 2 -8 2 -8 2 -9 2 -9 2 -9 2 -9 3 -9 0 0 3 -8 3 -7 3 -7 2 -6 2 -6 2 -6 2 -6 1 -5 1 -5 1 -5 0 -5 0 -5 0 -5 0 -5 0 -5 0 -5 0 -4 0 -4 0 -4 0 -4 0 -4 -1 -4 -1 -5 -1 -5 -1 -5 -1 -6 0 0 0 0 0 0 0 0 0 0 ],1771738835.194653
CSI_DATA,STA,20:6E:F1:85:57:D5,-51,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,2879733928,0,110,0,0,2879.5,384,[0 0 0 0 0 0 0 0 0 0 0 0 0 5 -1 5 -1 6 -1 6 -1 6 -1 6 -1 6 -1 7 -1 7 -2 7 -2 7 -2 7 -3 7 -2 7 -2 7 -2 7 -2 7 -2 7 -1 7 -1 8 -1 8 -1 8 -1 8 -2 9 -2 9 -2 8 0 0 -3 7 -3 7 -2 6 -2 6 -2 5 -2 5 -1 5 -1 5 -1 4 -1 5 0 5 0 5 -1 4 0 4 -1 4 0 3 0 4 0 3 0 3 0 3 0 3 1 3 1 3 1 4 1 4 1 4 0 0 0 0 0 0 0 0 0 0 ],1771738835.2290502
CSI_DATA,STA,20:6E:F1:85:57:D5,-51,11,1,6,1,1,1,0,0,0,0,-96,0,6,1,2879734466,0,110,0,0,2879.53,384,[0 0 0 0 0 0 0 0 0 0 0 0 -6 1 -6 0 -7 1 -7 0 -8 1 -7 0 -8 0 -8 0 -8 0 -9 0 -9 -1 -9 -1 -9 -1 -8 -1 -8 -1 -9 -1 -8 -1 -8 0 -8 0 -9 0 -9 1 -9 1 -10 0 -10 0 -10 0 -10 -1 0 0 -9 -2 -8 -1 -7 -1 -7 -1 -7 -1 -7 -1 -6 -1 -6 0 -6 0 -6 1 -6 1 -6 0 -5 0 -5 0 -5 1 -5 0 -5 1 -5 0 -4 1 -4 1 -4 1 -4 1 -4 2 -4 2 -4 2 -5 2 0 0 0 0 0 0 0 0 0 0 ],1771738835.266411
CSI_DATA,STA,20:6E:F1:85:57:D5,-51,11,1,6,1,1,1,0,0,0,0,-96,0,6,1,2879734619,0,110,0,0,2879.57,384,[0 0 0 0 0 0 0 0 0 0 0 0 -3 -6 -2 -6 -2 -6 -2 -6 -2 -7 -2 -7 -2 -7 -2 -7 -2 -7 -2 -8 -1 -8 -1 -8 -1 -8 -1 -8 -1 -8 -2 -8 -2 -8 -2 -8 -2 -8 -3 -8 -3 -8 -3 -8 -3 -9 -2 -9 -2 -9 -2 -9 0 0 -1 -8 -1 -8 -1 -7 -1 -7 -1 -6 -1 -6 -1 -5 -2 -5 -2 -5 -2 -5 -2 -5 -2 -5 -2 -5 -2 -5 -2 -5 -2 -4 -2 -4 -2 -4 -2 -4 -2 -4 -2 -4 -3 -3 -3 -4 -3 -4 -4 -4 -4 -4 0 0 0 0 0 0 0 0 0 0 ],1771738835.307013
CSI_DATA,STA,20:6E:F1:85:57:D5,-50,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,2879735572,0,110,0,0,2879.61,384,[0 0 0 0 0 0 0 0 0 0 0 0 -1 -6 -1 -7 -1 -7 -1 -7 0 -7 0 -7 0 -8 0 -8 0 -8 1 -8 0 -8 0 -8 1 -8 1 -9 1 -8 1 -8 0 -8 0 -8 0 -8 0 -8 0 -9 0 -9 0 -9 0 -10 0 -9 1 -9 0 0 2 -8 2 -8 1 -7 1 -7 1 -6 1 -6 0 -6 0 -6 0 -5 0 -5 -1 -6 -1 -5 -1 -5 -1 -5 -1 -5 -1 -4 -1 -5 -1 -4 -1 -4 -1 -4 -1 -4 -1 -4 -1 -4 -2 -5 -2 -5 -2 -5 0 0 0 0 0 0 0 0 0 0 ],1771738835.344043
CSI_DATA,STA,20:6E:F1:85:57:D5,-50,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,2879769395,0,110,0,0,2879.65,384,[0 0 0 0 0 0 0 0 0 0 0 0 5 3 5 3 5 3 4 4 5 4 5 4 5 4 5 5 5 5 5 5 5 6 5 6 5 6 5 6 4 5 5 5 5 5 5 5 5 5 6 5 6 5 6 5 6 6 6 6 6 6 5 6 0 0 4 6 4 6 3 5 4 5 3 4 3 4 3 3 3 3 4 3 4 3 4 2 3 3 3 2 3 2 3 2 3 2 3 2 3 2 3 2 3 1 3 1 3 1 3 1 3 1 4 1 4 1 0 0 0 0 0 0 0 0 0 0 ],1771738835.3752189
CSI_DATA,STA,20:6E:F1:85:57:D5,-51,11,1,6,1,1,1,0,0,0,0,-96,0,6,1,2879989235,0,110,0,0,2879.69,384,[0 0 0 0 0 0 0 0 0 0 0 0 -3 5 -4 5 -4 5 -4 5 -5 5 -5 5 -5 5 -5 5 -5 5 -5 5 -5 5 -6 6 -6 5 -6 5 -6 5 -6 5 -6 5 -6 5 -5 6 -5 6 -5 6 -6 6 -6 7 -6 6 -6 6 -6 6 0 0 -7 5 -6 4 -6 4 -5 4 -5 3 -4 3 -4 3 -3 3 -3 3 -3 4 -3 3 -3 3 -3 3 -3 3 -2 3 -2 2 -2 2 -2 2 -2 2 -2 2 -1 2 -1 2 -1 2 -1 3 -1 3 -1 4 0 0 0 0 0 0 0 0 0 0 ],1771738835.410542
CSI_DATA,STA,20:6E:F1:85:57:D5,-51,11,1,6,1,1,1,0,0,0,0,-96,0,6,1,2879989764,0,110,0,0,2879.72,384,[0 0 0 0 0 0 0 0 0 0 0 0 -6 -4 -6 -4 -5 -5 -6 -5 -5 -5 -6 -5 -6 -6 -6 -6 -6 -6 -6 -6 -7 -6 -7 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -6 -7 -6 -7 -6 -7 -6 -7 -6 -8 -6 -7 -6 -7 -6 -7 -7 0 0 -6 -7 -5 -6 -5 -6 -5 -5 -4 -5 -4 -5 -4 -4 -4 -4 -4 -4 -5 -3 -4 -3 -4 -3 -4 -3 -4 -3 -4 -3 -3 -3 -3 -2 -3 -2 -3 -2 -3 -2 -3 -1 -3 -1 -3 0 -4 -1 -4 -1 -5 -1 0 0 0 0 0 0 0 0 0 0 ],1771738835.451083
CSI_DATA,STA,20:6E:F1:85:57:D5,-50,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,2879991276,0,110,0,0,2879.76,384,[0 0 0 0 0 0 0 0 0 0 0 0 0 -7 1 -7 1 -7 2 -8 2 -8 2 -8 2 -8 2 -9 3 -8 3 -8 2 -9 3 -9 3 -9 3 -9 3 -9 3 -8 3 -9 2 -8 2 -9 2 -9 2 -10 2 -10 2 -10 2 -10 3 -10 3 -10 0 0 3 -9 3 -8 3 -8 2 -7 2 -7 2 -6 2 -6 1 -6 1 -6 0 -6 0 -5 0 -5 0 -5 0 -5 0 -4 0 -4 0 -4 -1 -4 0 -4 -1 -4 -1 -4 -1 -4 -1 -4 -2 -4 -2 -4 -2 -5 0 0 0 0 0 0 0 0 0 0 ],1771738835.4879029
