type,role,mac,rssi,rate,sig_mode,mcs,bandwidth,smoothing,not_sounding,aggregation,stbc,fec_coding,sgi,noise_floor,ampdu_cnt,channel,secondary_channel,local_timestamp,ant,sig_len,rx_state,real_time_set,real_timestamp,len,CSI_DATA,pc_timestamp
CSI_DATA,STA,20:6E:F1:85:57:D5,-33,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,2955427864,0,110,0,0,2955.16,384,[0 0 0 0 0 0 0 0 0 0 0 0 -4 3 -4 3 -5 3 -5 2 -5 2 -5 2 -6 2 -6 2 -6 2 -6 2 -7 2 -7 2 -7 2 -7 2 -7 1 -8 2 -8 1 -9 1 -8 1 -9 1 -9 0 -9 0 -9 0 -9 0 -9 0 -9 0 0 0 -9 0 -9 0 -8 0 -9 0 -9 0 -9 0 -9 0 -9 0 -9 0 -9 0 -9 1 -9 1 -8 1 -8 1 -9 2 -9 2 -10 2 -9 2 -9 2 -9 3 -10 3 -9 3 -10 3 -10 3 -10 4 -10 4 0 0 0 0 0 0 0 0 0 0 ],1771738910.889685
CSI_DATA,STA,20:6E:F1:85:57:D5,-34,11,1,6,1,1,1,0,0,0,0,-96,0,6,1,2955428056,0,110,0,0,2955.2,384,[0 0 0 0 0 0 0 0 0 0 0 0 -4 2 -4 2 -5 2 -5 2 -5 2 -5 2 -6 2 -6 2 -6 1 -6 1 -7 1 -7 1 -7 1 -7 1 -8 1 -8 0 -8 0 -9 0 -8 0 -9 -1 -8 -1 -9 -1 -9 -1 -8 -1 -8 -1 -9 -1 0 0 -9 -1 -9 -1 -9 -2 -9 -1 -9 -1 -9 -1 -9 -1 -9 -1 -9 -1 -9 -1 -9 -1 -9 -1 -8 -1 -9 0 -9 0 -9 0 -9 0 -9 0 -10 1 -10 1 -10 1 -10 1 -10 1 -10 2 -10 2 -10 2 0 0 0 0 0 0 0 0 0 0 ],1771738910.9277089
CSI_DATA,STA,20:6E:F1:85:57:D5,-34,11,1,6,1,1,1,0,0,0,0,-96,0,6,1,2955540023,0,110,0,0,2955.24,384,[0 0 0 0 0 0 0 0 0 0 0 0 2 4 2 4 2 4 2 4 2 5 1 4 1 5 1 5 1 5 1 6 1 6 1 6 1 7 0 7 0 7 0 8 0 7 0 8 -1 8 -1 8 -1 8 -1 8 -2 8 -2 8 -2 8 -2 7 0 0 -2 8 -2 8 -2 8 -2 8 -2 8 -2 8 -2 8 -1 8 -1 8 -1 8 -1 8 -1 8 -1 8 0 8 0 9 0 8 0 9 0 8 0 9 0 9 1 9 1 9 1 10 1 10 2 10 2 10 0 0 0 0 0 0 0 0 0 0 ],1771738910.961288
CSI_DATA,STA,20:6E:F1:85:57:D5,-34,11,1,6,1,1,1,0,0,0,0,-96,0,6,1,2955573433,0,110,0,0,2955.27,384,[0 0 0 0 0 0 0 0 0 0 0 0 -5 -3 -5 -3 -5 -3 -5 -4 -5 -4 -5 -4 -5 -4 -5 -4 -5 -5 -5 -5 -5 -5 -5 -6 -5 -6 -5 -7 -5 -7 -5 -7 -5 -7 -5 -7 -5 -8 -5 -8 -5 -8 -5 -8 -4 -8 -4 -8 -4 -8 -4 -8 0 0 -5 -8 -4 -8 -4 -8 -4 -8 -4 -8 -5 -8 -5 -8 -5 -8 -5 -8 -5 -8 -5 -8 -5 -8 -5 -8 -6 -8 -6 -8 -6 -8 -6 -8 -7 -7 -7 -7 -7 -7 -8 -7 -8 -7 -8 -7 -8 -8 -8 -8 -9 -8 0 0 0 0 0 0 0 0 0 0 ],1771738911.0014
CSI_DATA,STA,20:6E:F1:85:57:D5,-34,11,1,6,1,1,1,0,0,0,0,-96,0,6,1,2955574635,0,110,0,0,2955.31,384,[0 0 0 0 0 0 0 0 0 0 0 0 -5 -2 -5 -3 -5 -3 -5 -3 -5 -4 -5 -4 -5 -4 -5 -4 -5 -5 -5 -5 -5 -5 -5 -6 -5 -6 -5 -6 -6 -7 -5 -7 -5 -7 -5 -7 -5 -8 -5 -8 -5 -8 -4 -8 -4 -8 -4 -8 -4 -8 -4 -8 0 0 -4 -8 -4 -8 -4 -9 -4 -8 -4 -8 -4 -8 -4 -8 -5 -8 -5 -8 -5 -8 -5 -8 -5 -8 -5 -8 -6 -8 -6 -8 -6 -8 -6 -8 -6 -8 -7 -8 -7 -8 -7 -8 -7 -8 -7 -7 -8 -8 -8 -8 -9 -8 0 0 0 0 0 0 0 0 0 0 ],1771738911.0416782
CSI_DATA,STA,20:6E:F1:85:57:D5,-33,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,2955575875,0,110,0,0,2955.35,384,[0 0 0 0 0 0 0 0 0 0 0 0 -4 3 -4 3 -5 3 -5 3 -5 3 -5 3 -5 2 -6 3 -6 2 -6 2 -7 2 -7 2 -7 2 -8 2 -8 2 -8 2 -9 1 -9 1 -9 1 -9 1 -9 1 -9 1 -9 1 -9 0 -9 0 -9 0 0 0 -9 1 -9 0 -9 0 -9 0 -9 0 -9 1 -9 1 -9 1 -9 1 -9 1 -9 1 -9 1 -9 2 -9 2 -9 2 -9 2 -9 3 -9 3 -9 3 -9 3 -9 4 -9 4 -9 4 -9 4 -10 4 -10 5 0 0 0 0 0 0 0 0 0 0 ],1771738911.077267
CSI_DATA,STA,20:6E:F1:85:57:D5,-34,11,1,6,1,1,1,0,0,0,0,-96,0,6,1,2955576286,0,110,0,0,2955.38,384,[0 0 0 0 0 0 0 0 0 0 0 0 -2 4 -3 4 -3 4 -3 4 -3 4 -4 4 -4 4 -4 4 -5 4 -4 5 -5 5 -5 5 -5 5 -6 5 -6 5 -7 4 -7 5 -7 4 -8 4 -8 4 -8 4 -8 4 -8 4 -8 4 -8 4 -8 4 0 0 -8 4 -8 4 -8 4 -8 3 -8 4 -8 4 -8 4 -8 4 -8 4 -8 4 -8 4 -7 5 -8 5 -7 5 -8 5 -8 5 -7 5 -7 6 -8 6 -7 6 -7 6 -7 7 -7 7 -7 7 -7 7 -7 8 0 0 0 0 0 0 0 0 0 0 ],1771738911.113068
CSI_DATA,STA,20:6E:F1:85:57:D5,-33,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,2955581148,0,110,0,0,2955.42,384,[0 0 0 0 0 0 0 0 0 0 0 0 4 1 4 1 4 2 4 2 4 2 4 2 4 3 4 3 4 3 5 4 5 4 5 4 5 4 5 5 5 5 4 6 5 6 4 6 4 7 4 7 4 7 3 7 4 7 4 7 4 7 4 7 0 0 4 7 3 7 3 7 3 7 3 7 4 7 3 7 4 7 4 7 4 7 4 7 4 7 5 7 5 7 4 7 5 7 5 6 5 6 6 7 6 7 6 6 6 7 6 6 7 6 7 6 7 7 0 0 0 0 0 0 0 0 0 0 ],1771738911.145045
CSI_DATA,STA,20:6E:F1:85:57:D5,-33,11,1,4,1,1,1,0,0,0,0,-96,0,6,1,2955614922,0,110,0,0,2955.45,384,[0 0 0 0 0 0 0 0 0 0 0 0 -3 -4 -3 -5 -3 -5 -3 -6 -3 -6 -2 -6 -2 -6 -2 -6 -2 -7 -2 -7 -2 -7 -2 -7 -2 -8 -2 -8 -2 -8 -1 -8 0 -9 0 -9 0 -9 0 -9 0 -9 1 -9 1 -8 1 -9 1 -9 1 -9 0 0 1 -9 1 -9 1 -9 1 -9 1 -9 1 -9 1 -9 1 -9 1 -9 0 -9 0 -9 0 -9 0 -9 0 -10 0 -9 0 -10 -1 -10 -1 -10 -1 -10 -1 -10 -1 -10 -1 -10 -2 -10 -2 -10 -2 -10 -2 -11 0 0 0 0 0 0 0 0 0 0 ],1771738911.183658
